date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;Coronel Artude Paula Ferreira;;Vila Nova Conceição;;1000000;71;14.084;R$1.450 ;R$280 ;2;1;1;Riala Empreendimentos Imobiliários;(11) 5574-0888 ;-235.969;-466.699;74376409;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-71m2-venda-RS1000000-id-74376409/
25/07/17;Coronel Artude Paula Ferreira;95;Vila Nova Conceição;Condomínio Loose In Vila Nova ;1000000;67;14.925;R$1.280 ;R$2.200 ;2;1;1;Nalva Imóveis;(11) 95772-7990 ;-23.596.244;-46.669.762;78347836;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-67m2-venda-RS1000000-id-78347836/
25/07/17;Ministro JesuÌ_no Cardoso;148;Vila Nova Conceição;Condomínio Forma Itaim ;1000000;45;22.222;R$700 ;;1;1;1;MaxHaus Vendas;(11) 95470-1829 ;-2.359.186;-46.679.232;77289482;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-45m2-venda-RS1000000-id-77289482/
25/07/17;Marcos Lopes;272;Vila Nova Conceição;Condomínio Vila Nova Luxury Home Design ;1000000;79;12.658;R$648 ;R$220 ;1;1;1;BRASIL SP IMOVEIS;(11) 5531-0050 ;-2.359.758;-46.671.641;73325473;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-79m2-venda-RS1000000-id-73325473/
25/07/17;MacurapÌ©;450;Vila Nova Conceição;;1000000;70;14.285;R$1.090 ;R$240 ;1;1;1;Site Location;(11) 5041-1458 ;-235.884;-466.783;72815502;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1000000-id-72815502/
25/07/17;Clodomiro Amazonas;506;Vila Nova Conceição;Condomínio Limited Itaim ;1000000;70;14.285;R$1.100 ;R$240 ;1;1;2;GDX Consultoria Imobiliaria;(11) 5182-2222 ;-23.588.812;-46.679.016;72241820;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1000000-id-72241820/
25/07/17;Diogo Jacome;554;Vila Nova Conceição;Condomínio Diogo Home Boutique ;1000000;48;20.833;R$1.100 ;R$120 ;1;2;1;Ricardo Tayar;(11) 3885-2104 ;-23.596.784;-46.667.638;83506317;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-48m2-venda-RS1000000-id-83506317/
25/07/17;JoÌ£o LourenÌ¤o;763;Vila Nova Conceição;Condomínio Maison D'amboise ;1000000;85;11.764;R$800 ;R$140 ;1;2;1;Ricardo Tayar;(11) 3885-2104 ;-23.589.385;-46.671.467;83506481;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-85m2-venda-RS1000000-id-83506481/
25/07/17;JoÌ£o LourenÌ¤o;763;Vila Nova Conceição;Condomínio Maison D'amboise ;1000000;90;11.111;R$750 ;R$100 ;1;2;1;Seven House;(11) 3486-4638 ;-23.589.203;-46.671.554;79249741;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-90m2-venda-RS1000000-id-79249741/
25/07/17;Diogo Jacome;1000;Vila Nova Conceição;Condomínio SAMAMBAIA ;1000000;100;10.000;R$1.000 ;;3;3;1;Roberto Covos Figueiredo;(11) 96666-7000 ;-23.600.069;-46.669.639;83366880;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1000000-id-83366880/
25/07/17;Clodomiro Amazonas;1346;Vila Nova Conceição;Condomínio My Space ;1015000;73;13.904;R$990 ;R$181 ;2;2;2;Realty Campinas;(19) 99193-9484 ;-23.596.124;-46.676.468;83142540;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-73m2-venda-RS1015000-id-83142540/
25/07/17;Marcos Lopes;272;Vila Nova Conceição;;1019000;79;12.898;;;1;2;1;MWC-BRASIL CONSULTORIA DE IMOVEIS LTDA -ME;(11) 98350-6736 ;-235.975;-466.715;58083940;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-79m2-venda-RS1019000-id-58083940/
